序号,纳入口径,企业代码,企业中文名,企业英文名,身份,合作伙伴等级,行业一级分类,展位号,展馆,展厅或区域,展馆代码,展厅或区域代码,官方目录 URL,快照日期
1,参展企业,997f08996e5148eba07e1febb0395bce,上海东方算芯科技有限公司,"Shanghai Eastern Computing Technology Co.,Ltd.",展商,战略合作伙伴,核心技术,H2-B101,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
2,参展企业,997f08996e5148eba07e1febb0395bce,上海东方算芯科技有限公司,"Shanghai Eastern Computing Technology Co.,Ltd.",展商,战略合作伙伴,核心技术,Z1A-603,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
3,参展企业,e392d3e66d7f4156ae8be3ae84324b1d,上海阶跃星辰智能科技有限公司,"Shanghai StepFun Intelligent Technology Co., Ltd.",展商,战略合作伙伴,核心技术,H1-C107,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
4,参展企业,ad565f93f2744b049661c8734acb58ef,中国南方电网有限责任公司,"China Southern Power Grid Co., Ltd. ","展商,论坛主办方",战略合作伙伴,电力、热力、燃气及水生产和供应业,H2-D501,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
5,参展企业,c94c27ad9b5642ca825f53daa3af22d6,中国电信集团有限公司,"China Telecom Group Co., Ltd.","展商,论坛主办方",战略合作伙伴,其他,H2-C101,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
6,参展企业,733eed50c829498d83dda28148f89225,中国移动通信集团有限公司,"China Mobile Communications Group Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,H1-B101,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
7,参展企业,e58cb2d39edf4387b21718db647c2b68,中国联合网络通信集团有限公司,"China United Network Communications Group Co., Ltd.","展商,论坛主办方",战略合作伙伴,其他,H2-C1201,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
8,参展企业,e68e1966a8694f788daa40dd54eb6fab,交通银行股份有限公司,"Bank of Communications Co., Ltd","展商,论坛主办方",战略合作伙伴,金融科技,H1-D101,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
9,参展企业,49a8132f0e8e4aa78f99ed5ce8b74740,华为技术有限公司,"Huawei Technologies Co., Ltd","展商,论坛主办方",战略合作伙伴,其他,H2-A101,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
10,参展企业,c0f84a19475344adadf80b9a1cebd338,商汤科技,SenseTime,"展商,论坛主办方",战略合作伙伴,核心技术,H1-B807,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
