序号,纳入口径,企业代码,企业中文名,企业英文名,身份,身份代码,合作伙伴等级,合作伙伴代码,服务领域,服务领域代码,行业一级分类,行业一级代码,展位号,展馆,展厅或区域,展位数量,企业中文简介,企业英文简介,Logo URL,展览年份,官方目录 URL,官方 API URL,快照日期
1,参展企业,997f08996e5148eba07e1febb0395bce,上海东方算芯科技有限公司,"Shanghai Eastern Computing Technology Co.,Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H2-B101 | Z1A-603,世博展览馆 | 张江科学会堂,世博展览馆H2 | 张江科学会堂-海科厅,2,上海东方算芯科技有限公司专注于高性能算力芯片的研发与创新，致力于通过“软件定义芯片”、“近存计算”等前沿技术，基于国产成熟工艺，打造高性能、高能效、高灵活性的算力芯片产品。公司产品包括软件定义超高性能近存计算芯片、基础软件与应用软件、高性能服务器和大规模集群系统解决方案。公司产品将广泛应用于服务器厂商和产业公司，面向互联网、人工智能、金融和超高性能计算等领域复杂应用场景，满足国民经济和产业发展对算力提出的迫切需求，支撑数字化、智能化，赋能产业升级。,"Shanghai Eastern Computing Technology Co., Ltd. is dedicated to the research and development of high-performance computing chips. Leveraging cutting-edge technologies such as ""software-defined chip"" and ""near-memory computing"" and building on mature domestic process technologies, we strive to create computing chip products that deliver high performance, high energy efficiency, and high flexibility. Our product portfolio includes software-defined high-performance near-memory computing chips, foundational and application software, high-performance servers, and large-scale cluster system solutions. These products will be widely adopted by server manufacturers and industrial companies, addressing complex application scenarios in fields such as the Internet, artificial intelligence, finance, and high-performance computing. They meet the urgent demand for computing power driven by national economic and industrial development, supporting digitalization and intelligentization while empowering ",https://downloadprod.worldaic.com.cn/static/4e1ab0df/088dea1b-96da-465b-a2d8-23495a53dece_%E4%B8%9C%E6%96%B9%E7%AE%97%E8%8A%AFLOGO.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
2,参展企业,e392d3e66d7f4156ae8be3ae84324b1d,上海阶跃星辰智能科技有限公司,"Shanghai StepFun Intelligent Technology Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H1-C107,世博展览馆,世博展览馆H1,1,阶跃星辰是行业领先的基础大模型公司，坚定探索 AGI，汇集顶尖技术人才。其 Step 系列通用大模型矩阵，覆盖从语言、多模态到推理的全面能力。阶跃战略聚焦 AI+终端，在汽车、手机两大消费终端，已跑通商业化链路并形成头部效应：与国内 60% 头部手机品牌深度合作，覆盖 OPPO、荣耀、中兴等品牌。联合吉利、千里科技打造整车智能体，已在极氪 8X 首发并量产。,"StepFun is a leading foundation model company dedicated to advancing AGI, bringing together top-tier technical talent. Its Step series of foundation models covers language, multimodal, and reasoning capabilities.

With a focus on AI-powered terminals, StepFun has achieved commercial traction in both smartphones and automobiles. It partners with 60% of China’s leading smartphone brands, including OPPO, Honor, and ZTE. In collaboration with Greely and Afari, it has developed a full-vehicle intelligent agent, first launched and mass-produced in the Zeekr 8X.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/31603c9f-2252-4383-a5d1-1891e1351aa4_StepFun_Logo_%E4%B8%AD%E6%96%87_%E9%BB%91.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
3,参展企业,ad565f93f2744b049661c8734acb58ef,中国南方电网有限责任公司,"China Southern Power Grid Co., Ltd. ","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,电力、热力、燃气及水生产和供应业,VO_ENTERPRISE_SERVICE_DOMAIN_12,电力、热力、燃气及水生产和供应业,VO_INDUSTRY_L1_21,H2-D501,世博展览馆,世博展览馆H2,1,中国南方电网有限责任公司(简称“中国南方电网”，英文缩写：CSG)成立于2002年12月29日，是中央管理的关系国家安全、国民经济命脉的国有重要骨干企业。公司负责投资、建设和经营管理南方区域电网，参与投资、建设和经营相关跨区域输变电和联网工程，为广东、广西、云南、贵州、海南五省区和港澳地区提供电力供应服务保障，以输配电业务为核心，协同发展新兴业务、国际业务、产业金融、共享服务等，共五大战略单元。公司总部设有21个职能部门和南方总调，所属26家二级分子公司，控股南网储能、南网能源、南网数字、南网科技4家境内上市公司和秘鲁博路兹1家境外上市公司，员工人数26.6万，资产总额13491亿元，营业收入8534亿元，连续19年保持经营业绩考核A级，连续10年获得国家主权级信用评级，世界500强排名第84位，国企改革连续4年位居央企前列，率先进入中国企业联合会评定的世界一流企业方阵。,"China Southern Power Grid Co., Ltd. (hereinafter referred to as CSG) was established on December 29th, 2002 in accordance with “The Power Sector De-regulatory Reform Program” promulgated by the State Council of China. CSG invests, constructs and operates power networks in Guangdong, Guangxi, Yunnan, Guizhou and Hainan provinces and regions. The service area is of 1 million square kilometers, with a population of 273 million.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/13/36236bd7ba78404097b55fb7eef1c208/ee7b48e2-ab74-4eee-baef-66e38c8a2997_%E5%8D%97%E7%BD%91logo.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
4,参展企业,c94c27ad9b5642ca825f53daa3af22d6,中国电信集团有限公司,"China Telecom Group Co., Ltd.","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,其他,VO_INDUSTRY_L1_24,H2-C101,世博展览馆,世博展览馆H2,1,"中国电信集团有限公司是中国特大型通信运营企业，连续多年入选《财富》杂志“世界500强企业”，主要经营移动通信、互联网接入及应用、固定电话、卫星通信、ICT集成等综合信息服务。集团公司总资产10783亿元，员工39万人。
中国电信集团有限公司是由国家单独出资设立的中央企业。集团公司根据国务院国资委要求设立董事会，下设提名委员会、薪酬与考核委员会、审计与风险委员会及战略与投资委员会。
中国电信集团有限公司在31个省(自治区、直辖市)、香港特别行政区、澳门特别行政区和美洲、欧洲等地设有运营机构。","China Telecom Corporation Limited is a centrally-administered, mega-sized telecommunications operator in China, consistently ranked on the Fortune Global 500 list. It provides integrated information services, including mobile and fixed-line communications, internet access, satellite communications, and ICT integration. The Group has total assets of approximately CNY 1.08 trillion and a workforce of around 390,000 employees.

Established as a state-owned enterprise with sole state funding, it operates under a Board of Directors featuring specialized committees—Nomination, Remuneration and Appraisal, Audit and Risk, and Strategy and Investment—in line with SASAC requirements.

The Group maintains operational presence across all 31 provincial-level regions in mainland China, Hong Kong SAR, Macao SAR, as well as in the Americas and Europe. ",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/10/644d19be319b4cf7840151b5d650c153/d1052cb7-cd8c-4408-bcf1-9b39e055772d_%E7%94%B5%E4%BF%A1logo.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
5,参展企业,733eed50c829498d83dda28148f89225,中国移动通信集团有限公司,"China Mobile Communications Group Co., Ltd.","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H1-B101,世博展览馆,世博展览馆H1,1,"中国移动通信集团有限公司是按照国家电信体制改革的总体部署，于2000年组建成立的中央企业，2004年在香港和纽约实现主营业务资产整体上市，2022年1月5日回归A股上市、成为“红筹公司回归A股主板上市第一股”，注册资本3000亿元人民币，资产规模2.5万亿元人民币。在党中央、国务院的坚强领导下，在上级部门的指导支持下，中国移动始终致力于推动信息通信技术服务经济社会民生，以创世界一流示范企业，做科技强国、网络强国、数字中国主力军为目标，坚持创新驱动发展，加快转型升级步伐，已成为网络规模、客户规模、收入规模“三个全球第一”，创新能力、品牌价值、公司市值、盈利水平“四个全球领先”的电信运营企业。连续20年获国资委中央企业负责人经营业绩考核A级，入选中央企业科技创新优秀企业榜单、位列首位，连续24年入选《财富》世界500强企业、最新排名第55位。
","China Mobile Communications Group Co., Ltd. is a central state-owned enterprise established in 2000 in accordance with the overall plan for China’s telecommunications system reform. Its core operating assets were listed in Hong Kong and New York in 2004. On January 5, 2022, the company returned to the A-share market, becoming the first red-chip company listed on the main board of the A-share market. It has a registered capital of RMB 300 billion and total assets of RMB 2.5 trillion.
Under the firm leadership of the Communist Party of China Central Committee and the State Council, as well as the guidance and support of higher-level authorities, China Mobile has long been committed to applying information and communication technologies to serve economic and social development and people’s livelihood. Aiming to build a world-class demonstration enterprise and act as a main force in strengthening science and technology, advancing cyber strength and building a Digital China, the company adh",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/02/22a085f6e02d4328a0e04c78bf6a466f/8c5a5306-dbf9-4bec-a7d6-739f7bf70760_%E4%BC%81%E4%B8%9ALOGO.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
6,参展企业,e58cb2d39edf4387b21718db647c2b68,中国联合网络通信集团有限公司,"China United Network Communications Group Co., Ltd.","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,其他,VO_INDUSTRY_L1_24,H2-C1201,世博展览馆,世博展览馆H2,1,"中国联合网络通信集团有限公司（简称“中国联通”）在国内31个省（自治区、直辖市）和境外多个国家和地区设有分支机构，拥有覆盖全国、通达世界的现代通信网络和全球客户服务体系，在2025年《财富》世界500强中位列第269位。作为支撑党政军系统、各行各业、广大人民群众的基础通信企业，中国联通在国民经济中具有基础性、支柱性、战略性、先导性的基本功能与地位作用，具有技术密集、全程全网、规模经济、服务经济社会与民生的特征与属性。
中国联通切实履行政治责任、经济责任、社会责任，坚持党的领导、坚持守正创新、坚持主责主业，以“守正创新、行稳致远”为公司“十五五”时期发展主基调，以“连接”“算力”“服务”“安全”为履行央企责任的核心赛道，从“基础管道提供商”向“数字化综合服务商”转变，担当“信息通信事业国家队、主力军”，充分发挥科技创新、产业控制、安全支撑作用。","""China United Network Communications Group Co., Ltd. (hereinafter referred to as “China Unicom”) has established branches in 31 provinces (autonomous regions and municipalities directly under the central government) across China, as well as in multiple countries and regions around the world. It operates a modern communications network that spans the nation and connects the globe, supported by a worldwide customer service system. In 2025, it was ranked 269th on the Fortune Global 500 list. As a foundational communications enterprise serving the Party, government, military systems, various industries, and the general public, China Unicom plays a fundamental, pillar, strategic, and pioneering role in the national economy. It features technology intensity, end-to-end and whole-network operations, economies of scale, and serves the economy, society, and people’s livelihoods.
China Unicom faithfully fulfills its political, economic, and social responsibilities. Adhering to the leadership of",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/27/49ba71f50b7d4cddba2441445d5be1b4/86804552-11bb-4265-ac86-766b1e77e5df_%E8%81%94%E9%80%9Alogo-%E9%80%8F%E6%98%8E.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
7,参展企业,e68e1966a8694f788daa40dd54eb6fab,交通银行股份有限公司,"Bank of Communications Co., Ltd","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,金融,VO_ENTERPRISE_SERVICE_DOMAIN_2,金融科技,VO_INDUSTRY_L1_04,H1-D101,世博展览馆,世博展览馆H1,1,"交通银行始建于1908年，是中国历史最悠久的银行之一。1987年4月1日重新组建后正式对外营业，成为中国第一家全国性国有股份制商业银行，总部设在上海。2023 年入选全球系统重要性银行。按一级资本排名，位居全球银行第9位。
交通银行以“建设具有特色优势的世界一流银行集团”为目标，扎实做好“五篇大文章”，着力打造普惠金融、贸易金融、科技金融、财富金融四大业务特色，持续提升客户经营、科技引领、风险管理、协同作战、资源配置五大专业能力，以“上海主场”建设、数字化转型的创新突破引领全行高质量发展。","Bank of Communications was founded in 1908 and is one of the oldest banks in China. On April 1, 1987, the Bank was re-established and officially opened for business, becoming the first national joint-stock commercial bank in China, with its headquarters in Shanghai.In 2023, it was designated as a Global Systemically Important Bank. Ranked by Tier 1 capital, the Bank ranks 9th among global banks.
The Bank is committed to “building a world-class bank group with distinctive strengths.” It solidly advances the “Five Key Pillars” of development, focuses on building four major business specialties—inclusive finance, trade finance, technology finance, and wealth finance—and continuously enhances five core capabilities: customer management, technology leadership, risk management, coordinated operations, and resource allocation. Through innovation-driven development in “Shanghai Home Base” development and digital transformation, the Bank leads the way in achieving high-quality growth.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/02/848b670df6f7441996c763904e15e131/ecd26a52-513b-4986-afeb-0b069d3aab65_%E4%BA%A4%E9%80%9A%E9%93%B6%E8%A1%8Clogo.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
8,参展企业,49a8132f0e8e4aa78f99ed5ce8b74740,华为技术有限公司,"Huawei Technologies Co., Ltd","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,其他,VO_INDUSTRY_L1_24,H2-A101,世博展览馆,世博展览馆H2,1,"华为创立于1987年，是全球领先的ICT（信息与通信）基础设施和智能终端提供商。华为目前有21.3万员工，业务遍及170多个国家和地区，服务全球30多亿人口。

华为致力于把数字世界带入每个人、每个家庭、每个组织，构建万物互联的智能世界：让无处不在的联接，成为人人平等的权利，成为智能世界的前提和基础；为世界提供多样性算力，让云无处不在，让智能无所不及；通过AI重新定义体验，让消费者在家居、出行、办公、影音娱乐、运动健康等全场景获得极致的个性化智慧体验；所有的行业和组织，因强大的数字平台而变得敏捷、高效、生机勃勃。","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have approximately 213,000 employees and we operate in more than 170 countries and regions, serving more than 3 billion people around world. We are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/04/01/ee066d5e264a4069b752fd86356f2506/78f1af64-c54e-4e0d-93e7-d41f447c8173_%E5%8D%8E%E4%B8%BAlogo.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
9,参展企业,c0f84a19475344adadf80b9a1cebd338,商汤科技,SenseTime,"展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H1-B807,世博展览馆,世博展览馆H1,1,作为人工智能软件公司，商汤科技以“坚持原创，让AI引领人类进步”为使命，旨在持续引领人工智能前沿研究，持续打造更具拓展性更普惠的人工智能软件平台，推动经济、社会和人类的发展，并持续吸引及培养顶尖人才，共同塑造未来。商汤科技业务涵盖生成式AI、视觉AI和创新业务，以高效率、低成本、规模化的AI创新和落地，打通商业价值闭环，引领人工智能进入工业化发展阶段。商汤前瞻性打造新型人工智能基础设施——商汤AI大装置SenseCore，打通算力、算法和平台，并在此基础上建立“商汤日日新SenseNova”大模型及研发体系，以低成本解锁通用人工智能任务的能力。此外，商汤科技持续领跑计算机视觉市场，商汤方舟 SenseFoundry以多年积累计算机视觉能力，辅以前沿多模态大模型，为国内外各行业提供更加稳定高效的视觉Al支撑。目前，商汤科技已于香港交易所主板挂牌上市。商汤在香港、上海、北京、深圳、成都、杭州、西安、新加坡、曼谷、吉隆坡、利雅得、阿布扎比、迪拜、首尔等地设立办公室。另外，商汤科技在德国、泰国、印度尼西亚、菲律宾等国家均有业务。更多信息，请访问商汤科技网站、微信、微博和领英。,"SenseTime advocates for a philosophy of “balanced development” in artificial intelligence (AI) ethics and actively participates in the formulation of industry, national, and international standards related to data security, privacy protection, AI ethics, and sustainable AI. It has established close collaboration with multiple institutions in Chinese Mainland and multilateral organizations to promote the sustainable and ethical development of AI. SenseTime’s Code of Ethics for AI Sustainable Development was included in the United Nations’ “Resource Guide on AI Strategies”, and its related research and practices have been repeatedly recognized by international partners.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/03/17/293ec747bb084989ba1cb3561c7e61b2/54898efa-57a8-4f9e-9f98-34b28f673a7c_%E5%95%86%E6%B1%A4LOGO%E6%A8%AA%E7%89%88-%E9%BB%91%E8%89%B2%E6%96%87%E5%AD%97-%E9%80%8F%E6%98%8E%E5%BA%95.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
10,参展企业,396ba27ef4f3400192d00eea964c0664,国家电网有限公司,State Grid Corporation of China,"展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",战略合作伙伴,PARTNER_LEVEL_0002,电力、热力、燃气及水生产和供应业,VO_ENTERPRISE_SERVICE_DOMAIN_12,电力、热力、燃气及水生产和供应业,VO_INDUSTRY_L1_21,H2-D101,世博展览馆,世博展览馆H2,1,"国家电网有限公司成立于2002年12月29日，是根据《公司法》设立的中央直接管理的国有独资公司，注册资本8295亿元，以投资建设运营电网为核心业务，是关系国家能源安全和国民经济命脉的特大型国有重点骨干企业。
公司经营区域覆盖我国26个省（自治区、直辖市），供电范围占国土面积的88%，供电人口超过11亿。近20多年来，国家电网持续保持全球特大型电网最长安全纪录，建成42项特高压输电工程，成为世界上输电能力最强、新能源并网规模最大的电网，公司专利拥有量持续排名央企第一。公司位列2025年《财富》世界500强第3位，连续21年获国务院国资委业绩考核A级，连续13年获标准普尔、穆迪、惠誉三大国际评级机构国家主权级信用评级（标普A+、穆迪A1、惠誉A+），是全球最大的公用事业企业，也是具有行业引领力和国际影响力的创新型企业。","Taking investment, construction and operation of power grids as its core business, State Grid Corporation of China (State Grid) is a state-owned enterprise founded on Dec. 29, 2002. As the world’s largest utility it is crucial to China's energy security and economic lifeline. For more than two decades, State Grid has recorded the world’s longest hours of safe operation of its super large grid and integrated the largest amount of renewables with the strongest power transmission capacity.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/4526caa6-e234-4530-ac7b-05584aa1eaec_%E5%9B%BD%E7%BD%91%E6%96%B9%E5%BD%A2-logo.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
