优先级,参展企业,产品或平台,企业代码,产品代码,展位,Combo 关注角色,产品官方 URL,链接类型,备用官方 URL,备用链接类型,核验状态,最终可用 URL,最终链接类型,WAIC 展品图片 URL,WAIC 展品视频 URL,WAIC 展品 API 匹配,核验日期,说明
1,上海道仑文化传播有限公司,SHAI Awards,3ab65ebbbf1f43678927ccb6b8cbaee7,,X1C-704,创作者供给与专业评价网络,https://www.shanghaiawards.com/,官方赛事平台,,,已核验官方平台,https://www.shanghaiawards.com/,官方赛事平台,,,未出现在公开展品 API,2026-07-19,用于寻找 AI 广告创作者和专业评审网络，不是自助式 AI 工具。
2,上海演语科技有限公司,LiblibAI,c27afff590db4dcdbd24660e053843d7,,X1C-705,创作者池、变现生态与竞品对照,https://www.liblib.art/,官方产品平台,,,已核验官方产品入口,https://www.liblib.art/,官方产品平台,,,未出现在公开展品 API,2026-07-19,平台入口；现场仍需核验创作者收入、真实订单、退款与方法授权。
3,北京未来式智能科技有限公司,袋袋 Profy,4bff88c7f17645a8ba8aca5de4ac2d71,,L037,专家能力产品化与结果交易的直接竞品,https://app.profy.cn/zh,官方 Web App,https://profy.cn/zh/,官方产品介绍页,已核验官方产品入口,https://app.profy.cn/zh,官方 Web App,,,未出现在公开展品 API,2026-07-19,优先研究真实付款、结果定义、专家到账、退款、复购与跨专家购买。
4,叽里咕咕创意（杭州）科技有限公司,叽里呱呱,bcc0df365a0640aa94049589d18381af,0882b01dccfc41bba9d811740b398c53,H4-FT B008,第一批视觉服务共创候选,https://authoring.jamesdysonaward.org/2026/project/%E5%8F%BD%E9%87%8C%E5%91%B1%E5%91%B1,官方奖项参赛页,,,已核验团队提交的产品页,https://authoring.jamesdysonaward.org/2026/project/%E5%8F%BD%E9%87%8C%E5%91%B1%E5%91%B1,官方奖项参赛页,https://downloadprod.worldaic.com.cn/static/4e1ab0df/779375f3-36d2-4ed2-9d78-41a13b480d94_05fd471b-98f0-452e-b6ad-c2edef57f5a3.jpg,,已匹配 WAIC 展品 API,2026-07-19,当前是设计奖参赛/原型介绍，不等同于已开放购买或公开体验。
5,哔哩哔哩,哔哩哔哩 Toy,78278836805f4cd4ad0c3fca79b7b64b,a4aed11e1c5f4c139eb107755fcaaeb1,H1-B817；X1A-505,站内创作者分发与转化容器,https://www.bilibili.com/toy/intro,官方产品介绍与内测申请页,,,已核验官方产品入口,https://www.bilibili.com/toy/intro,官方产品介绍与内测申请页,https://downloadprod.worldaic.com.cn/static/4e1ab0df/f933fbbe-f1b2-42cf-a1d2-6ae5b57a58cc_%E4%BC%81%E4%B8%9A%E5%BE%AE%E4%BF%A1%E6%88%AA%E5%9B%BE_17841161264064.png,,已匹配 WAIC 展品 API,2026-07-19,重点确认远端 API、登录、支付跳转、发布位和完整漏斗回传。
6,汇付天下有限公司,斗拱开放平台,f624dcee3f2a41178f23b0b38e3903e7,,H1-D1304,支付、分账、退款与结算闭环,https://paas.huifu.com/open/home/index.html,官方开放平台,,,已核验官方产品入口,https://paas.huifu.com/open/home/index.html,官方开放平台,,,未出现在公开展品 API,2026-07-19,用于核验平台商户、KYC、逐单分账、退款、对账、结算与数电票能力。
7,汇付天下有限公司,AdaPay,f624dcee3f2a41178f23b0b38e3903e7,,H1-D1304,支付 API 与交易基础设施,https://www.adapay.tech/adapay/,官方产品介绍页,https://docs.adapay.tech/api/introduce.html,官方 API 文档,已核验官方产品入口,https://www.adapay.tech/adapay/,官方产品介绍页,,,未出现在公开展品 API,2026-07-19,产品页与 API 文档分开保留，便于现场后直接评估接入。
8,Aezia,Stilo,166833fdd8ba4d2c9b5665e8f8cdf4eb,,H4-FT O004,视觉专业服务产品化标杆,,,,,未找到可确认的独立官方产品页,,,,,未出现在公开展品 API,2026-07-19,不采用 stilo.design 或 aezia.com 等未经主体一致性验证的域名，建议现场扫码确认。
9,友学伴（北京）教育科技有限公司,友学伴 UniGrow,ca579a2896394605ad1954fd58d75a3c,,H4-FT C075,creator-led GTM 的跨垂类样本,https://apps.apple.com/cn/app/%E5%8F%8B%E5%AD%A6%E4%BC%B4unigrow/id6772134629,官方 App Store 页面,https://yourxueban.com/,官方产品网站,已核验官方应用入口,https://apps.apple.com/cn/app/%E5%8F%8B%E5%AD%A6%E4%BC%B4unigrow/id6772134629,官方 App Store 页面,,,未出现在公开展品 API,2026-07-19,App Store 开发者主体与参展公司一致；K12 场景责任和监管不能直接迁移到 Combo。
10,上海智启心源人工智能科技有限公司,Open Design,53400a02c7cc40139a4038e09e9fc8a8,,H4-FT C045,审美、rubric 与设计方法资产化样本,https://open-design.ai/,官方产品网站,https://github.com/nexu-io/open-design,官方 GitHub 仓库,已核验官方产品入口,https://open-design.ai/,官方产品网站,,,未出现在公开展品 API,2026-07-19,适合研究个人审美如何沉淀为可复用设计系统；开源热度不等于服务交易。
11,上海美丽猪猪科技有限公司,美人支招,0eeb78c600fb4b2ca55224ddc7110474,58eb67ea35f5493893f2e9dd606b5d43,H4-FT B014,付费、长期记忆与复购机制样本,https://apps.apple.com/cn/app/%E7%BE%8E%E4%BA%BA%E6%94%AF%E6%8B%9B/id6759969522,官方 App Store 页面,,,已核验官方应用入口,https://apps.apple.com/cn/app/%E7%BE%8E%E4%BA%BA%E6%94%AF%E6%8B%9B/id6759969522,官方 App Store 页面,https://downloadprod.worldaic.com.cn/static/4e1ab0df/6d3c6f22-5913-4136-9d92-04a304fba3fd_%E7%BE%8E%E7%8C%AA1.png,,已匹配 WAIC 展品 API,2026-07-19,App Store 开发者主体与参展公司一致；大会自述经营数字仍需独立核验。
12,派晨（上海）智能科技有限公司,IPVISE,9be054371683427fb4ed9a91a68ec85f,d5aa6394acef497283f020820a215d2f,H4-FT C061,专业创意工作流与品牌资产样本,https://www.ipvise.ai/en,官方产品预览页,https://app.ipvise.ai/,官方 Early Access 入口,已核验官方预览与早鸟入口,https://www.ipvise.ai/en,官方产品预览页,https://downloadprod.worldaic.com.cn/static/4e1ab0df/148d9ce3-11a0-403a-a774-2725265045f1_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20260617172704_16_932.png,,已匹配 WAIC 展品 API,2026-07-19,当前公开状态偏预览/Early Access，不表述为已全面开放的自助产品。
13,与光同尘（杭州）文化科技有限公司,与光AI,56358d70e6504ce1b84d81ffdd9759fd,5b92e7619770480ea2b6a9a1982caac5,X1A-501-03、X1A-501-04,影视广告专业工作流与质量控制样本,https://ygtcai.com/,官方 Web 产品,https://ygtcai.com/home,官方产品首页,已核验官方产品入口,https://ygtcai.com/,官方 Web 产品,https://downloadprod.worldaic.com.cn/static/4e1ab0df/baa8db2f-4cbf-4c03-9c24-c9f2f76601af_%E4%B8%8E%E5%85%89AI%20logo-02.png,https://downloadprod.worldaic.com.cn/static/4e1ab0df/259476d0-aacc-4d60-95bb-2a44aae568b3_2026%E8%BD%AF%E4%BB%B6%E5%AE%A3%E4%BC%A0%E7%89%87-1.mp4,已匹配 WAIC 展品 API,2026-07-19,公开页面提供注册/开始入口；优先研究分镜连续性诊断和真人质量控制。
14,物自体（上海）科技有限公司,GrowClaw,24ef43150f6144fa9f6acc9868c11b93,dba0bcb754d14bf7810199908ab4494b,H4-FT C024,品牌增长与广告素材工作流样本,https://www.growclaw.site/,官方产品网站,https://www.noumena.com.cn/,官方企业网站,已核验官方产品入口,https://www.growclaw.site/,官方产品网站,https://downloadprod.worldaic.com.cn/static/4e1ab0df/28030e08-e029-4f2d-9c62-e9f964562a06_1.jpg,,已匹配 WAIC 展品 API,2026-07-19,Noumena 官网直接展示并链接 GrowClaw。
15,物自体（上海）科技有限公司,GrowX,24ef43150f6144fa9f6acc9868c11b93,a3b3522fbec343558178c0c3c2a5e8ca,H4-FT C024,广告素材诊断与通用增长 Agent 对照,,,https://www.noumena.com.cn/,官方企业网站（非独立产品页）,未找到独立官方产品页,https://downloadprod.worldaic.com.cn/static/4e1ab0df/2a554d35-6755-4278-aeed-ffcf9e413843_growX.mov,WAIC 官方展品视频,https://downloadprod.worldaic.com.cn/static/4e1ab0df/5fbbeafd-eff9-461b-9cb0-98597239afaa_2.png,https://downloadprod.worldaic.com.cn/static/4e1ab0df/2a554d35-6755-4278-aeed-ffcf9e413843_growX.mov,已匹配 WAIC 展品 API,2026-07-19,当前企业官网重点展示 GrowClaw，不能把 GrowClaw 页面当作 GrowX 页面；表格保留 WAIC 官方视频作为产品级材料。
