序号,来源展示名,展位,证据等级,来源类型,参展上下文,实体归一状态,目录状态,来源 URL,备注,快照日期
1,郑州城发安居有限公司,H4-075,A0,WAIC 官方展品 API,5 件公开展品，含住房租赁平台、智能门锁、智能驾驶舱等,企业全称,企业目录未收录；展品 API 收录,https://servicer.worldaic.com.cn/waic/show/product/published-page,企业代码 35d2b3836628491296c18ec3690122f5,2026-07-18
2,广州万协通信息技术股份有限公司,Z1A-109,A0,WAIC 官方展品 API,公开展品：可重构 TPU 芯片,企业全称,企业目录未收录；展品 API 收录,https://servicer.worldaic.com.cn/waic/show/product/published-page,企业代码 a758da0c09e44d0596b7864fadfef701,2026-07-18
3,富士康工业互联网,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
4,寅家集团,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
5,鼎捷数智,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
6,英业达,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
7,日月光封测上海,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
8,北京汉智兴,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
9,思行智能机器人,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
10,乔山健康科技上海,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
11,数字王国朝霆上海,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
12,台晶宁波,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
13,浙江远东工业开发,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
14,大腕影像,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
15,宁波寰采星,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
16,联发博动北京,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
17,宁波弘讯,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
18,东莞若鼎应材,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
19,北京冠亚有诚,H1-D109,A1,WAIC 官方展商长图（官方账号稿件镜像）,海峡展团共享展位,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
20,网易有道,X1B-501 | X1C-511-07,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
21,宇构智核上海,X1C-907,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
22,立讯精密,H1-A1034,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,长图展示名与官网目录可能存在品牌/法人差异,2026-07-18
23,上海寻付数字科技,H1-D803,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
24,北京神州数码电商,H1-B938,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
25,爱思比通信科技上海,H4-071,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,,2026-07-18
26,在华韩国创新中心 KIC中国,H1-A218,A1,WAIC 官方展商长图（官方账号稿件镜像）,官方展商长图独立列示,机构，不是商业企业,企业目录和展品 API 均未收录,https://finance.sina.com.cn/hy/hyjz/2026-07-09/doc-inihhrah3944785.shtml,统计参展单位时保留；统计企业时应单列,2026-07-18
27,动界智控上海,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
28,集优力星上海,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
29,上海氦豚机器人,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
30,上海桦之坚,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
31,Sharpa,,A1,长宁区政府发布,长宁区参展品牌,品牌名；法律实体待核,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
32,上海黑湖网络科技,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,,2026-07-18
33,观察者网信息技术,,A1,长宁区政府发布,长宁区参展企业/品牌,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://www.shanghai.gov.cn/nw15343/20260716/bdbdfd4c003b4e8cbfa986142fbc9318.html,未把“上海纵苇”计为新增，以免与目录内“苏州纵苇”误判为不同品牌,2026-07-18
34,挚达科技,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
35,商米科技,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
36,潜脑科技,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
37,天璺信息,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,OCR 展示名；需回看原图复核字形,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,名称字形置信度低，不应直接作为法人名,2026-07-18
38,磐易科技,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
39,优复博,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
40,判判机器人,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
41,相加信息,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
42,辛米尔科技,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
43,博斯腾,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
44,蓝沃,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
45,瞬息宇宙,H2-D516,A1,杨浦区官方发布,长阳秀带共享展位,品牌/简称；待法人归一,企业目录和展品 API 均未收录,https://weibo.com/2/detail/5321623001104968,,2026-07-18
46,沨呵智慧科技上海,H1-A1105,A1,张江园区官方发布（官方账号稿件镜像）,模力社区企业；与西门子展位关联,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,共享/联合展示关系，不应覆盖西门子目录记录,2026-07-18
47,华院计算技术上海,H2-A310,A1,张江园区官方发布（官方账号稿件镜像）,模力社区企业,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,,2026-07-18
